"uid","namedLocation","domainID","siteID","plotID","pointID","startDate","endDate","sampleID","subsampleID","cameraOrientation","cameraPosition","biophysicalCriteria","imageType","imageFileName","imageFileUrl","remarks","publicationDate","release"
"0235c2d4-bd34-4db5-8540-463a825c90bb","PUUM_041.basePlot.dhp","D20","PUUM","PUUM_041","S10",2018-06-07 00:27:00,2018-06-13 02:17:00,"DHP.2018.01.PUUM041","DHP.2018.01.PUUM041.S10.OVERSTORY",NA,"shoulder",NA,"overstory","D20_0149.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_041/overstory/D20_0149.NEF",NA,"20221128T174608Z","RELEASE-2023"
"e9bf46f8-9cc1-4da8-905d-02d2b87d736b","PUUM_041.basePlot.dhp","D20","PUUM","PUUM_041","S6",2018-06-07 00:27:00,2018-06-13 02:17:00,"DHP.2018.01.PUUM041","DHP.2018.01.PUUM041.S6.OVERSTORY",NA,"shoulder",NA,"overstory","D20_0148.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_041/overstory/D20_0148.NEF",NA,"20221128T174608Z","RELEASE-2023"
"267cde6e-0fc5-43ae-9812-30910ee6e721","PUUM_041.basePlot.dhp","D20","PUUM","PUUM_041","E2",2018-06-07 00:27:00,2018-06-13 02:17:00,"DHP.2018.01.PUUM041","DHP.2018.01.PUUM041.E2.UNDERSTORY",NA,"shoulder",NA,"understory","D20_0076.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_041/understory/D20_0076.NEF",NA,"20221128T174608Z","RELEASE-2023"
"a4696e0b-0acd-4efe-942c-8a5e5ae35fb1","PUUM_041.basePlot.dhp","D20","PUUM","PUUM_041","N10",2018-06-07 00:27:00,2018-06-13 02:17:00,"DHP.2018.01.PUUM041","DHP.2018.01.PUUM041.N10.OVERSTORY",NA,"shoulder",NA,"overstory","D20_0139.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_041/overstory/D20_0139.NEF",NA,"20221128T174608Z","RELEASE-2023"
"c7f57ab3-a063-4306-b736-17b4d2a5efd0","PUUM_041.basePlot.dhp","D20","PUUM","PUUM_041","E2",2018-06-07 00:27:00,2018-06-13 02:17:00,"DHP.2018.01.PUUM041","DHP.2018.01.PUUM041.E2.OVERSTORY",NA,"shoulder",NA,"overstory","D20_0142.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_041/overstory/D20_0142.NEF",NA,"20221128T174608Z","RELEASE-2023"
"7bdc8925-7dd9-4f46-b6c5-6381f414dfef","PUUM_041.basePlot.dhp","D20","PUUM","PUUM_041","N10",2018-06-07 00:27:00,2018-06-13 02:17:00,"DHP.2018.01.PUUM041","DHP.2018.01.PUUM041.N10.UNDERSTORY",NA,"shoulder",NA,"understory","D20_0067.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_041/understory/D20_0067.NEF",NA,"20221128T174608Z","RELEASE-2023"
"594e10af-7ec3-4812-860b-3bef299781d2","PUUM_041.basePlot.dhp","D20","PUUM","PUUM_041","N2",2018-06-07 00:27:00,2018-06-13 02:17:00,"DHP.2018.01.PUUM041","DHP.2018.01.PUUM041.N2.UNDERSTORY",NA,"shoulder",NA,"understory","D20_0066.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_041/understory/D20_0066.NEF",NA,"20221128T174608Z","RELEASE-2023"
"b7159578-fd2b-43e0-ab69-2f91314f2578","PUUM_041.basePlot.dhp","D20","PUUM","PUUM_041","E6",2018-06-07 00:27:00,2018-06-13 02:17:00,"DHP.2018.01.PUUM041","DHP.2018.01.PUUM041.E6.UNDERSTORY",NA,"shoulder",NA,"understory","D20_0077.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_041/understory/D20_0077.NEF",NA,"20221128T174608Z","RELEASE-2023"
"dd877cb2-10e7-40a8-96a0-b13bca49080c","PUUM_041.basePlot.dhp","D20","PUUM","PUUM_041","W10",2018-06-07 00:27:00,2018-06-13 02:17:00,"DHP.2018.01.PUUM041","DHP.2018.01.PUUM041.W10.OVERSTORY",NA,"shoulder",NA,"overstory","D20_0152.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_041/overstory/D20_0152.NEF",NA,"20221128T174608Z","RELEASE-2023"
"3a954504-c748-425f-ae08-56af42e757b0","PUUM_041.basePlot.dhp","D20","PUUM","PUUM_041","W6",2018-06-07 00:27:00,2018-06-13 02:17:00,"DHP.2018.01.PUUM041","DHP.2018.01.PUUM041.W6.UNDERSTORY",NA,"shoulder",NA,"understory","D20_0091.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_041/understory/D20_0091.NEF",NA,"20221128T174608Z","RELEASE-2023"
"e920a23f-257e-488b-9abe-7aa208d8cc84","PUUM_041.basePlot.dhp","D20","PUUM","PUUM_041","S2",2018-06-07 00:27:00,2018-06-13 02:17:00,"DHP.2018.01.PUUM041","DHP.2018.01.PUUM041.S2.OVERSTORY",NA,"shoulder",NA,"overstory","D20_0147.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_041/overstory/D20_0147.NEF",NA,"20221128T174608Z","RELEASE-2023"
"7395c21a-27a6-4e0b-b3ed-6ba7d19504bd","PUUM_041.basePlot.dhp","D20","PUUM","PUUM_041","S6",2018-06-07 00:27:00,2018-06-13 02:17:00,"DHP.2018.01.PUUM041","DHP.2018.01.PUUM041.S6.UNDERSTORY",NA,"shoulder",NA,"understory","D20_0082.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_041/understory/D20_0082.NEF",NA,"20221128T174608Z","RELEASE-2023"
"a3aec325-c2da-4da8-8d01-ebd6242e412d","PUUM_041.basePlot.dhp","D20","PUUM","PUUM_041","W6",2018-06-07 00:27:00,2018-06-13 02:17:00,"DHP.2018.01.PUUM041","DHP.2018.01.PUUM041.W6.OVERSTORY",NA,"shoulder",NA,"overstory","D20_0151.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_041/overstory/D20_0151.NEF",NA,"20221128T174608Z","RELEASE-2023"
"40fbf2b4-1951-4d2f-be10-4e988ee13cbc","PUUM_041.basePlot.dhp","D20","PUUM","PUUM_041","E6",2018-06-07 00:27:00,2018-06-13 02:17:00,"DHP.2018.01.PUUM041","DHP.2018.01.PUUM041.E6.OVERSTORY",NA,"shoulder",NA,"overstory","D20_0143.NEF","https://storage.neonscience.org/neon-dhp-images/D20/2018/PUUM01/PUUM_041/overstory/D20_0143.NEF",NA,"20221128T174608Z","RELEASE-2023"
